ia_fund_name,ia_management_company,ia_sector,isin,resolved_name,status,confidence,triage_reason
abrdn Asia Pacific Equity Fund,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB00B0XWNG99,abrdn Asia Pacific Equity Fund I Acc,matched,1.0,
abrdn (Lothian) Pacific Basin Trust,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB0008396797,abrdn (Lothian) Pacific Basin Trust A,matched,1.0,
abrdn Asia Pacific Equity Enhanced Index Fund,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB00BGHW1Q36,abrdn Asia Pacific Equity Enhanced Index Fund A Acc,matched,1.0,
abrdn Evolve Asia Pacific ex-Japan Equity Index Fund,abrdn Fund Managers Limited,Asia Pacific Excluding Japan,GB00BL567W03,abrdn Evolve Asia Pacific ex-Japan Equity Index Fund B GBP Acc,matched,1.0,
Asia Pacific Sustainable Equity Fund,abrdn Investments Luxembourg S.A.,Asia Pacific Excluding Japan,LU0498180339,abrdn SICAV I - Asia Pacific Sustainable Equity Fund A Acc EUR,matched,0.9767,
Asian Smaller Companies Fund,abrdn Investments Luxembourg S.A.,Asia Pacific Excluding Japan,LU0390136579,Templeton Asian Smaller Companies Fund I(acc)EUR,review,0.8525,no decisive brand/region/style signal
AB FCP I - Asia Ex-Japan Equity Portfolio,AllianceBernstein (Luxembourg) S.à r.l.,Asia Pacific Excluding Japan,LU0469268469,AB FCP I - Asia Ex-Japan Equity Portfolio A Acc,matched,0.98,
Allianz Total Return Asian Equity Fund - A (ACC),Allianz Global Investors,Asia Pacific Excluding Japan,LU0348814566,Allianz Global Investors Fund - Allianz Total Return Asian Equity A EUR,matched,0.8858,
Allianz High Dividend Asia Pacific Equity,Allianz Global Investors GmbH,Asia Pacific Excluding Japan,LU1211504847,Allianz Global Investors Fund - Allianz High Dividend Asia Pacific Equity I EUR,matched,0.9114,
Allianz Little Dragons,Allianz Global Investors GmbH,Asia Pacific Excluding Japan,LU0348766576,Allianz Global Investors Fund - Allianz Little Dragons A USD,matched,0.8318,all distinctive IA tokens present and brand agrees
